"ID","Entidad","Entidad Acompañante","Sector","Objetivo ","Descripción de los compromisos ","Periodicidad en la ejecución de compromisos","Si se reprogramó","No se reprogramó ","Fecha de Reprogramación","Fecha final de ejecución","Resultados ( Resumen del resultado obtenido de la intervención)","Coordenadas de intervención","Lugar de intervención","Población impactada ","Objetivo Plan de Desarrollo Distrital  ","Programa Plan de Desarrollo Distrital   ","Observación"
"1","Secretaria Distrital de Salud","Alcaldia Local de Santa Fe","Salud","8. Desarrollar acciones de información, comunicación, educación,  y orientación frente a las situaciones problemáticas que afectan la salud de la comunidad del sector de San Bernardo. ","
1. Entorno/Proceso educativo: Realizar acercamiento al Colegio San Bernardo La Salle para establecer plan de cuidado escolar como insumo para despliegue de las acciones. ","25 de marzo del 2025 ","0","1","No se reprogramo","25/03/25","1) Se socializan las acciones del entorno cuidador educativo en la cual se concertó la realización de elemntos concernientes al producto Bienestar Emocional con la priorización de los  siguientes temas:                                             • Uso de Vapeadores y Energizantes – (701,702) (801,802)                                                 • Ansiedad – (901,902)                                               • Depresión – (1001, 1002).                                                                                                                                                        2) Se proyectan las siguientes fechas para realizar los respectivos procesos de implementación de acciones:                                    a) 8 de Mayo 2025 – Primer Momento                        b) 20 a 23 de Mayo 2025 – Segundo Momento            c) 3 a 6 de Junio 2025 – Tercer Momento ","4.592696337936549, -74.08568572791077","Colegio San Bernardo La Salle","178","Objetivo 2. Bogotá confia en su bien-estar ","Programa 10: Salud pública integrada e integral 

",""
"2","Secretaria Distrital de Salud","Alcaldia Local de Santa Fe","Salud","8. Desarrollar acciones de información, comunicación, educación,  y orientación frente a las situaciones problemáticas que afectan la salud de la comunidad del sector de San Bernardo. . ","2. Entorno/Proceso comunitario- 
Bienestar integral es más salud mental - Pruebas rápidas de VIH, Sífilis y Hepatitis B","26 de marzo de 2025
","0","1","No se reprogramo","26/03/25","* Bienestar Integral es Mas Salud Mental: 9 tamizajes de salud mental; Tripleta de Sífilis, VIH , Hepatitis B (9 personas). 
* Se realiza 2 Notificaciones al sistema de Vigilancia Epidemiológica, 1 de ellas con notificación al Subsistema de SISVECOS y 1 a SIVIGILA.","","","11","Objetivo 2. Bogotá confia en su bien-estar ","Programa 10: Salud pública integrada e integral ",""
"3","Secretaria Distrital de Salud","Alcaldia Local de Santa Fe","Salud","8. Desarrollar acciones de información, comunicación, educación,  y orientación frente a las situaciones problemáticas que afectan la salud de la comunidad del sector de San Bernardo. . ","3. Entorno/Proceso comunitario- SPacios de bienestar PID: Realizar abordaje a población diferencial habitanza en calle.","27 de marzo de 2025
","0","1","No se reprogramo","27/03/25","Este proceso se adelantó en el entorno del colegio Antonio José Uribe con las siguientes actividades:                                                           a) Recorrido por el Barrio; b)atención a personas consumidoras de sustancias psicoactivas y c) educación en Salud para prevención del consumo en adolescentes.
Estas  actividades se realizaron para la atención de personas que transitan en el barrio y que corresponden a usuarios PID, sin embargo, se amplió a residentes del barrio y estudiantes del colegio Antonio José Uribe.
Cobertura: 36 personas (11 hombres – 25 mujeres)","4.59240576760452, -74.08235459263258","Colegio Antonio José Uribe ","36","Objetivo 2. Bogotá confia en su bien-estar ","Programa 10: Salud pública integrada e integral ",""
"4","Secretaria Distrital de Salud","Alcaldia Local de Santa Fe","Salud","8. Desarrollar acciones de información, comunicación, educación,  y orientación frente a las situaciones problemáticas que afectan la salud de la comunidad del sector de San Bernardo. . ","4. Jornadas MAS Bienestar: Equipo cuidarte - Cuidándonos a través del arte
Tema: Salud mental","Se incluyo corde a necesidad del territorio","0","1","No se reprogramo","28/03/25","Acciones de educación en salud pública frente a temática de salud mental durante recorrido sectorial. San Bernardo.
Cobertura: 204 personas (101  hombres –103 mujeres)","","San Bernardo","204","Objetivo 2. Bogotá confia en su bien-estar ","Programa 10: Salud pública integrada e integral ",""
"5","Secretaria Distrital de Salud","Alcaldia Local de Santa Fe","Salud","8. Desarrollar acciones de información, comunicación, educación,  y orientación frente a las situaciones problemáticas que afectan la salud de la comunidad del sector de San Bernardo. . ","5. Entorno/Proceso Laboral: Realizar identificación y caracterización de: a) Unidades de Trabajo Informal y b) de Niños, Niñas y Adolescentes Trabajadores   ","29 de marzo de 2025
","0","1","No se reprogramo","29/03/25","*Se realizó 2 colectivos abordando 20 trabajadores informales, socializando acciones promocionales para la salud y seguridad en el trabajo con trabajadores informales y trabajo infantil. 
*Se logro que los padres de 5 niños, niñas y adolescentes trabajadores autorizaran el desarrollo de la estrategia. 
 *Se capturo información para agendamiento de cita para salud a 3 personas
*Se remitió a 1 usuaria para que actualice su SISBEN porque aparecía como desafinada de Capital. 30 Niños, Niñas y Adolescentes trabajadores caracterizados. 
 24 niños y niñas y 6 adolescentes.","","San Bernardo","50","Objetivo 2. Bogotá confia en su bien-estar ","Programa 10: Salud pública integrada e integral ",""
"6","Secretaria Distrital de Salud","Alcaldia Local de Santa Fe","Salud","8. Desarrollar acciones de información, comunicación, educación,  y orientación frente a las situaciones problemáticas que afectan la salud de la comunidad del sector de San Bernardo. . ","6. Entorno/Proceso PAI: 
•	Implementar Programa Ampliado de Inmunizaciones (PAI) Vacunación a población susceptible según el esquema nacional de vacunación establecido por el Ministerio de Salud ","2 de abril de 2025
","1","0","31 de marzo de 2025
","31/03/25","Durante la actividad, se logró administrar 8 biológicos, así:
Vacuna contra Neumococo: 1 dosis
Vacuna Hepatitis B: 7 dosis","","San Bernardo","8","Objetivo 2. Bogotá confia en su bien-estar ","Programa 10: Salud pública integrada e integral ",""
"7","Secretaria Distrital de Salud","Alcaldia Local de Santa Fe","Salud","8. Desarrollar acciones de información, comunicación, educación,  y orientación frente a las situaciones problemáticas que afectan la salud de la comunidad del sector de San Bernardo. . ","7. Jornadas MAS Bienestar:  Equipo cuidarte - Cuidandonos a través del arte
Tema: Salud mental","2 de abril de 2025
","0","1","No se reprogramo","2/04/25","
Puesta en escena de salud mental en el parque Santa fe, acciones de educación para la salud pública orientadas al cuidado de la salud mental  durante el recorrido  intersectorial.
Parque San Bernardo
Cobertura: 300 personas (218  hombres – 82 mujeres)
","","San Bernardo","300","Objetivo 2. Bogotá confia en su bien-estar ","Programa 10: Salud pública integrada e integral ",""
"8","Secretaria Distrital de Salud","Alcaldia Local de Santa Fe","Salud","8. Desarrollar acciones de información, comunicación, educación,  y orientación frente a las situaciones problemáticas que afectan la salud de la comunidad del sector de San Bernardo. . ","8. Entorno/Proceso Gestión Territorial: Implementar Laboratorio social de participación  (control social) con la comunidad. ","2 de abril de 2025
","1","0","9 de abril de 2025
","9/04/25","Se abordaron 15 personas para implementar un laboratrorio social de participación en el barrio San Bernardo. ","","San Bernardo","15","Objetivo 2. Bogotá confia en su bien-estar ","Programa 10: Salud pública integrada e integral ",""
"9","Secretaria Distrital de Salud","Alcaldia Local de Santa Fe","Salud","8. Desarrollar acciones de información, comunicación, educación,  y orientación frente a las situaciones problemáticas que afectan la salud de la comunidad del sector de San Bernardo. . ","9. Entorno/Proceso comunitario: Desarrollar Jornadas en el marco de la estrategia más Bienestar - Cuidarte - Salud Mental","3 de abril de 2025
","0","1","No se reprogramo","3/04/25","Acciones de educación para la salud pública orientadas al cuidado de la salud mental  durante el recorrido  intersectorial.
La Rioja
Cobertura: 144 personas (79  hombres – 65 mujeres)
","","San Bernardo","144","Objetivo 2. Bogotá confia en su bien-estar ","Programa 10: Salud pública integrada e integral ",""
"10","Secretaria Distrital de Salud","Alcaldia Local de Santa Fe","Salud","8. Desarrollar acciones de información, comunicación, educación,  y orientación frente a las situaciones problemáticas que afectan la salud de la comunidad del sector de San Bernardo. . ","10. Entorno/Proceso comunitario -Jornadas MAS Bienestar:  Equipo cuidarte - Cuidandonos a través del arte
Tema: Salud mental. ","4 de abril de 2025
","0","1","No se reprogramo","4/04/25","Puesta en escena de salud mental en el parque Santa fe, acciones de educación para la salud pública orientadas al cuidado de la salud mental  durante el recorrido  intersectorial.
Cobertura: 243 personas (161  hombres – 82 mujeres)","","San Bernardo","243","Objetivo 2. Bogotá confia en su bien-estar ","Programa 10: Salud pública integrada e integral ",""
